doc-number,Caption,Committees,Sponsors,links
HB 11,"Mitchell County; Board of Education; modify compensation of members
Status: 05/01/2023 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Campbell, Joe , 171st",https://www.legis.ga.gov/legislation/63488
HB 12,"Comer, City of; increase term of mayor from two to four years
Status: 05/01/2023 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Leverett, Rob , 123rd",https://www.legis.ga.gov/legislation/63489
HB 13,"Motor vehicles; licenses; optional space for indicating blood type; provide
Status: 01/23/2023 - House Second Readers",House Committee:Motor Vehicles,"Mitchell, Billy , 88thHugley, Carolyn , 141stReese, Tremaine Teddy , 140thSampson, David , 153rdCrawford, Omari , 84th",https://www.legis.ga.gov/legislation/63494
HB 14,"Income tax; tax credit for employers that employ certified workforce-ready graduates; provide
Status: 01/23/2023 - House Second Readers",House Committee:Ways & Means,"Kendrick, Dar'shun , 95th",https://www.legis.ga.gov/legislation/63495
HB 15,"Broadband Equity Task Force; establish
Status: 01/23/2023 - House Second Readers",House Committee:Technology and Infrastructure Innovation,"Kendrick, Dar'shun , 95th",https://www.legis.ga.gov/legislation/63496
HB 16,"Labor and industrial relations; use of sick leave for care of immediate family members; extend sunset provision
Status: 01/23/2023 - House Second Readers",House Committee:Industry and Labor,"Thomas, Mandisha A. , 65thMcClain, Dewey , 109thLim, Marvin , 98thHolly, El-Mahdi , 116th",https://www.legis.ga.gov/legislation/63497
HB 17,"Elections; sealing of ballots in secure containers; provide
Status: 02/21/2024 - House Committee Favorably Reported By Substitute",House Committee:Governmental Affairs,"Powell, Alan , 33rdLeverett, Rob , 123rdDeLoach, Buddy , 167thSmith, Tyler Paul , 18thJasperse, Rick , 11thAnderson, Victor , 10th",https://www.legis.ga.gov/legislation/63498
HB 18,"Supplemental appropriations; State Fiscal Year July 1, 2022 - June 30, 2023
Status: 03/10/2023 - House Date Signed by Governor",House Committee:AppropriationsSenate Committee:Appropriations,"Burns, Jon , 159thJones, Jan , 47thEfstration, Chuck , 104thHatchett, Matt , 155th",https://www.legis.ga.gov/legislation/63505
HB 19,"General appropriations; State Fiscal Year July 1, 2023 - June 30, 2024
Status: 05/05/2023 - House Date Signed by Governor",House Committee:AppropriationsSenate Committee:Appropriations,"Burns, Jon , 159thJones, Jan , 47thEfstration, Chuck , 104thHatchett, Matt , 155th",https://www.legis.ga.gov/legislation/63506
HB 20,"Supplemental appropriations; State Fiscal Year July 1, 2022 - June 30, 2023
Status: 01/23/2023 - House Second Readers",House Committee:Appropriations,"Burns, Jon , 159thJones, Jan , 47thEfstration, Chuck , 104thHatchett, Matt , 155th",https://www.legis.ga.gov/legislation/63507
HB 21,"Supplemental appropriations; State Fiscal Year July 1, 2022 - June 30, 2023
Status: 01/23/2023 - House Second Readers",House Committee:Appropriations,"Burns, Jon , 159thJones, Jan , 47thEfstration, Chuck , 104thHatchett, Matt , 155th",https://www.legis.ga.gov/legislation/63508
HB 22,"General appropriations; State Fiscal Year July 1, 2023 - June 30, 2024
Status: 01/23/2023 - House Second Readers",House Committee:Appropriations,"Burns, Jon , 159thJones, Jan , 47thEfstration, Chuck , 104thHatchett, Matt , 155th",https://www.legis.ga.gov/legislation/63509
HB 23,"General appropriations; State Fiscal Year July 1, 2023 - June 30, 2024
Status: 01/23/2023 - House Second Readers",House Committee:Appropriations,"Burns, Jon , 159thJones, Jan , 47thEfstration, Chuck , 104thHatchett, Matt , 155th",https://www.legis.ga.gov/legislation/63510
HB 24,"Georgia Remember My Life Act; enact
Status: 01/24/2023 - House Second Readers",House Committee:Special Rules,"Thomas, Mandisha A. , 65thLim, Marvin , 98thJackson, Mack , 128thMoore, Angela , 91st",https://www.legis.ga.gov/legislation/63517
HB 25,"Georgia Wooden Toy Act; enact
Status: 01/24/2023 - House Second Readers",House Committee:Ways & Means,"Thomas, Mandisha A. , 65thBuckner, Debbie , 137thDrenner, Karla , 85thMoore, Angela , 91st",https://www.legis.ga.gov/legislation/63518
HB 26,"Right to Breath Act; enact
Status: 01/24/2023 - House Second Readers",House Committee:Public Health,"Thomas, Mandisha A. , 65thLim, Marvin , 98thDrenner, Karla , 85thBuckner, Debbie , 137thCummings, Terry , 39th",https://www.legis.ga.gov/legislation/63520
HB 27,"Georgia Emerald Green Jobs Act; enact
Status: 01/24/2023 - House Second Readers",House Committee:Technology and Infrastructure Innovation,"Thomas, Mandisha A. , 65thLim, Marvin , 98thJackson, Mack , 128thReese, Tremaine Teddy , 140th",https://www.legis.ga.gov/legislation/63521
HB 28,"Alto, Town of; anti-nepotism requirements for future mayors and councilmembers; provide
Status: 05/01/2023 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Anderson, Victor , 10thErwin, Chris , 32nd",https://www.legis.ga.gov/legislation/63522
HB 29,"Cornelia, City of; Redevelopment Powers Law; authorize
Status: 05/01/2023 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Anderson, Victor , 10thErwin, Chris , 32nd",https://www.legis.ga.gov/legislation/63523
HB 30,"State government; definition of antisemitism; provide
Status: 01/31/2024 - House Date Signed by Governor",House Committee:JudiciarySenate Committee:Judiciary,"Carson, John , 46thEfstration, Chuck , 104thPanitch, Esther , 51stEvans, Stacey , 57thCooper, Sharon , 45thSilcox, Deborah , 53rd",https://www.legis.ga.gov/legislation/63524
HB 31,"Conservation and natural resources; Hazardous Waste Trust Fund; dedicate proceeds of certain hazardous waste fees
Status: 05/03/2023 - House Date Signed by Governor",House Committee:Ways & MeansSenate Committee:Finance,"Buckner, Debbie , 137thFrye, Spencer , 122ndLeverett, Rob , 123rdSmith, Vance , 138thSmith, Lynn , 70thStephens, Ron , 164th",https://www.legis.ga.gov/legislation/63525
HB 32,"Quality Basic Education Act; no high school which receives funding shall participate in sports events that does not utilize instant replay in Championship games; provide
Status: 03/29/2023 - House Withdrawn, Recommitted",House Committee:Education,"Douglas, Demetrius , 78thMartin, Chuck , 49thMcClain, Dewey , 109thRhodes, Trey , 124thHatchett, Matt , 155thMcDonald, Lauren , 26th",https://www.legis.ga.gov/legislation/63526
HB 33,"State Board of Veterinary Medicine; independent state agency attached to the Department of Agriculture; provisions
Status: 03/29/2023 - House Withdrawn, Recommitted",House Committee:Agriculture & Consumer Affairs,"Camp, Beth , 135thMathiak, Karen , 74thLim, Marvin , 98thAu, Michelle , 50thCameron, Mike , 1stHuddleston, David , 72nd",https://www.legis.ga.gov/legislation/63527
HB 34,"Income tax; purchases and acquisitions of qualified investment property for manufacturing and telecommunications facilities to include mining facilities; expand credit
Status: 01/24/2023 - House Second Readers",House Committee:Ways & Means,"Williamson, Bruce , 112thWilliams, Jr., Noel , 148thWade, Will , 9thRidley, Jason , 6thFrazier, Gloria , 126th",https://www.legis.ga.gov/legislation/63528
HB 35,"Georgia Ports Authority; provide for powers; expand arrest authority of officers
Status: 05/01/2023 - House Date Signed by Governor",House Committee:Public Safety and Homeland SecuritySenate Committee:Transportation,"Hitchens, Bill , 161stStephens, Ron , 164thLumsden, Eddie , 12thJackson, Edna , 165thWilliams, Al , 168th",https://www.legis.ga.gov/legislation/63529
HB 36,"Ad valorem tax; language required to be included in notices of current assessment; revise
Status: 01/08/2024 - Senate Recommitted",House Committee:Ways & MeansSenate Committee:Finance,"Martin, Chuck , 49thNewton, Mark , 127th",https://www.legis.ga.gov/legislation/63530
HB 37,"Community Health, Department of; mitigate potential loss of Medicaid coverage caused by discontinuation of Families First Coronavirus Response Act; provide
Status: 01/24/2023 - House Second Readers",House Committee:Public Health,"Beverly, James , 143rdMitchell, Billy , 88thPark, Sam , 107thScott, Sandra , 76thBennett, Karen , 94thAu, Michelle , 50th",https://www.legis.ga.gov/legislation/63531
HB 38,"Community Health, Department of; utilize appropriations for purposes of obtaining federal financial participation for medical assistance payments; provisions
Status: 01/24/2023 - House Second Readers",House Committee:Public Health,"Beverly, James , 143rdMitchell, Billy , 88thPark, Sam , 107thScott, Sandra , 76thBennett, Karen , 94thAu, Michelle , 50th",https://www.legis.ga.gov/legislation/63532
HB 39,"Education; issuance of transcripts when a student owes a debt to an institution of higher education; provide
Status: 01/25/2023 - House Second Readers",House Committee:Higher Education,"Lim, Marvin , 98thCamp, Beth , 135thHagan, Leesa , 156thCarpenter, Kasey , 4thMainor, Mesha , 56th",https://www.legis.ga.gov/legislation/63542
HB 40,"Excise tax; rooms, lodgings, and accommodations; provide exemption from county and municipal taxes for charges paid by hotel/motel vouchers
Status: 01/25/2023 - House Second Readers",House Committee:Ways & Means,"Lim, Marvin , 98thStephens, Ron , 164thFrye, Spencer , 122ndMartin, Chuck , 49thHolcomb, Scott , 81stMainor, Mesha , 56th",https://www.legis.ga.gov/legislation/63543
HB 41,"Mental health; emergency involuntary treatment for mental health and alcohol and drug dependency; revise procedures 
Status: 01/25/2023 - House Second Readers",House Committee:Public Health,"Lim, Marvin , 98thGunter, Stan , 8thOliver, Mary Margaret , 82ndNewton, Mark , 127thAu, Michelle , 50thMainor, Mesha , 56th",https://www.legis.ga.gov/legislation/63544
HB 42,"Ad valorem tax; county tax commissioner duties; revise provisions
Status: 01/25/2023 - House Second Readers",House Committee:Ways & Means,"Lim, Marvin , 98thLumsden, Eddie , 12thReeves, Matt , 99thMainor, Mesha , 56th",https://www.legis.ga.gov/legislation/63545
HB 43,"Council on American Indian Concerns; revise membership
Status: 05/06/2024 - House Date Signed by Governor",House Committee:State Planning & Community AffairsSenate Committee:Natural Resources and the Environment,"Lim, Marvin , 98thTaylor, Darlene , 173rdMathiak, Karen , 74thMcClain, Dewey , 109thMainor, Mesha , 56th",https://www.legis.ga.gov/legislation/63546
HB 44,"Brady Law Regulations; require universal background checks in all manner of firearm transfers and purchases
Status: 01/25/2023 - House Second Readers",House Committee:Public Safety and Homeland Security,"Au, Michelle , 50thBeverly, James , 143rdMitchell, Billy , 88thPark, Sam , 107thRoberts, Shea , 52ndScott, Sandra , 76th",https://www.legis.ga.gov/legislation/63547
HB 45,"Brady Law Regulations; three-day waiting period for purchase or transfer of certain firearms; require
Status: 01/25/2023 - House Second Readers",House Committee:Public Safety and Homeland Security,"Au, Michelle , 50thPark, Sam , 107thLim, Marvin , 98thMughal, Farooq , 105thRomman, Ruwa , 97thTran, Long , 80th",https://www.legis.ga.gov/legislation/63548
HB 46,"Crimes and offenses; aggravated assault and battery of healthcare  workers; expand enhanced punishment
Status: 01/25/2023 - House Second Readers",House Committee:Judiciary Non-Civil,"Newton, Mark , 127thAu, Michelle , 50thCamp, Beth , 135thCooper, Sharon , 45thLott, Jodi , 131stReese, Tremaine Teddy , 140th",https://www.legis.ga.gov/legislation/63549
HB 47,"Motor vehicles; require restitution for certain convictions of homicide by vehicle or vessel when operating under the influence of alcohol or drugs
Status: 01/25/2023 - House Second Readers",House Committee:Judiciary Non-Civil,"Petrea, Jesse , 166thCollins, J , 71stJones, Todd , 25thMcDonald, Lauren , 26thCameron, Mike , 1stLumsden, Eddie , 12th",https://www.legis.ga.gov/legislation/63550
HB 48,"Elections; district attorneys and solicitors-general of state courts be elected in nonpartisan elections; provide
Status: 03/29/2023 - House Withdrawn, Recommitted",House Committee:Governmental Affairs,"Petrea, Jesse , 166thGullett, Joseph , 19thGunter, Stan , 8thStephens, Ron , 164thCollins, J , 71stReeves, Matt , 99th",https://www.legis.ga.gov/legislation/63551
HB 49,"Seminole County; Board of Education; change description of districts
Status: 05/01/2023 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Greene, Gerald , 154th",https://www.legis.ga.gov/legislation/63552
HB 50,"Hagan, City of; change description of council districts
Status: 05/01/2023 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Werkheiser, Bill , 157th",https://www.legis.ga.gov/legislation/63553
HB 51,"Education; local boards of education use vehicles other than school buses for transport of students; authorize
Status: 04/23/2024 - House Date Signed by Governor",House Committee:EducationSenate Committee:Education and Youth,"Pirkle, Clay , 169thCorbett, John , 174th",https://www.legis.ga.gov/legislation/63559
HB 52,"Transportation, Department of; amend notice provisions relative to meetings for election of board members; provisions
Status: 05/05/2023 - House Date Vetoed by Governor",House Committee:TransportationSenate Committee:Transportation,"Thomas, Brad , 21stJasperse, Rick , 11thBarton, Matt , 5thWiedower, Marcus , 121stSeabaugh, Devan , 34thDaniel, Lauren , 117th",https://www.legis.ga.gov/legislation/63560
HB 53,"State Board of Registration for Foresters; independent state agency; provisions
Status: 03/26/2024 - Senate Tabled",House Committee:Natural Resources & EnvironmentSenate Committee:Agriculture and Consumer Affairs,"Corbett, John , 174thMeeks, Steven , 178thPirkle, Clay , 169thDickey, Robert , 145thWilliams, Jr., Noel , 148th",https://www.legis.ga.gov/legislation/63561
HB 54,"Income tax; increase annual aggregate limit of tax credits available for the qualified education tax credit
Status: 01/25/2023 - House Second Readers",House Committee:Ways & Means,"Carson, John , 46thHilton, Scott , 48thReeves, Matt , 99thEhrhart, Ginny , 36thKnight, David , 134thBonner, Josh , 73rd",https://www.legis.ga.gov/legislation/63562
HB 55,"Banking and finance; provide for definitions; change terminology; provisions
Status: 05/04/2023 - House Date Signed by Governor",House Committee:Banks & BankingSenate Committee:Banking and Financial Institutions,"Williamson, Bruce , 112thWilliams, Jr., Noel , 148thDickey, Robert , 145thWade, Will , 9thRidley, Jason , 6thFrazier, Gloria , 126th",https://www.legis.ga.gov/legislation/63563
HB 56,"Education; grants to children of law enforcement officers, firefighters, and prison guards killed in the line of duty; provisions
Status: 03/21/2024 - Senate Read Second Time",House Committee:Higher EducationSenate Committee:Higher Education,"Petrea, Jesse , 166thHitchens, Bill , 161stCollins, J , 71stCameron, Mike , 1stLumsden, Eddie , 12thLott, Jodi , 131st",https://www.legis.ga.gov/legislation/63564
HB 57,"Tallulah Falls, Town of; levy an excise tax

Status: 05/01/2023 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Anderson, Victor , 10th",https://www.legis.ga.gov/legislation/63599
HB 58,"Sky Valley, City of; levy an excise tax
Status: 05/01/2023 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Anderson, Victor , 10th",https://www.legis.ga.gov/legislation/63600
HB 59,"Rabun County; levy an excise tax
Status: 05/01/2023 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Anderson, Victor , 10th",https://www.legis.ga.gov/legislation/63601
HB 60,"Clayton, City of; levy an excise tax
Status: 05/01/2023 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Anderson, Victor , 10th",https://www.legis.ga.gov/legislation/63602
HB 61,"Dillard, City of; levy an excise tax
Status: 05/01/2023 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Anderson, Victor , 10th",https://www.legis.ga.gov/legislation/63603
HB 62,"Georgia Health and Economic Livelihood Partnership (HELP) Act; enact
Status: 01/26/2023 - House Second Readers",House Committee:Health,"Park, Sam , 107thBeverly, James , 143rdOliver, Mary Margaret , 82ndMughal, Farooq , 105thClark, Jasmine , 108thAu, Michelle , 50th",https://www.legis.ga.gov/legislation/63621
HB 63,"Insurance; insurers providing policies for groups of 20 or more to furnish claims experience at the request of a group policyholder; require
Status: 04/22/2024 - House Date Signed by Governor",House Committee:InsuranceSenate Committee:Insurance and Labor,"Williams, Jr., Noel , 148thTaylor, Darlene , 173rdLumsden, Eddie , 12thNewton, Mark , 127thTarvin, Steve , 2ndDeLoach, Buddy , 167th",https://www.legis.ga.gov/legislation/63622
HB 64,"Georgia Mover to Mover Act; enact
Status: 01/26/2023 - House Second Readers",House Committee:Judiciary,"Thomas, Mandisha A. , 65th",https://www.legis.ga.gov/legislation/63623
HB 65,"Building Resourceful Individuals to Develop Georgia's Economy Act; provide for a pilot program
Status: 01/26/2023 - House Second Readers",House Committee:Education,"Thomas, Mandisha A. , 65thCummings, Terry , 39th",https://www.legis.ga.gov/legislation/63624
HB 66,"Public Health, Department of; establish grant program for physicians and nurse practitioners; provisions
Status: 01/26/2023 - House Second Readers",House Committee:Health,"Thomas, Mandisha A. , 65thLim, Marvin , 98thCummings, Terry , 39th",https://www.legis.ga.gov/legislation/63625
HB 67,"Insurance; affordable healthcare coverage for individuals diagnosed with cardiovascular disease; provide
Status: 01/26/2023 - House Second Readers",House Committee:Insurance,"Thomas, Mandisha A. , 65thCummings, Terry , 39th",https://www.legis.ga.gov/legislation/63626
HB 68,"Supporting Working Parents Act; enact
Status: 01/26/2023 - House Second Readers",House Committee:Ways & Means,"Thomas, Mandisha A. , 65th",https://www.legis.ga.gov/legislation/63627
HB 69,"Georgia Triple Threat SNAP Act; enact
Status: 01/26/2023 - House Second Readers",House Committee:Public Health,"Thomas, Mandisha A. , 65thLim, Marvin , 98th",https://www.legis.ga.gov/legislation/63628
HB 70,"Surprise Billing Consumer Protection Act; require provider to notify a covered person if services require $100.00 or more in out-of-pocket costs
Status: 01/26/2023 - House Second Readers",House Committee:Insurance,"Thomas, Mandisha A. , 65th",https://www.legis.ga.gov/legislation/63629
HB 71,"Okefenokee Protection Act; enact
Status: 01/26/2023 - House Second Readers",House Committee:Natural Resources & Environment,"Taylor, Darlene , 173rdStephens, Ron , 164thPetrea, Jesse , 166thGreene, Gerald , 154thHitchens, Bill , 161stHawkins, Lee , 27th",https://www.legis.ga.gov/legislation/63631
HB 72,"Local government; compensation and benefits for employees and members of governing authorities; revise provisions
Status: 01/26/2023 - House Second Readers",House Committee:Governmental Affairs,"Bazemore, Debra , 69thBruce, Roger , 61stGlaize, Lydia , 67thNaghise, Tish , 68thWillis, Inga , 55thSchofield, Kim , 63rd",https://www.legis.ga.gov/legislation/63633
HB 73,"Public utilities; written disclosure statement with any agreement for sale or financing of distributed energy generation systems; provisions
Status: 03/18/2024 - Senate Read Second Time","House Committee:Energy, Utilities & TelecommunicationsSenate Committee:Regulated Industries and Utilities","Gullett, Joseph , 19thParsons, Don , 44thThomas, Mandisha A. , 65thAnderson, Victor , 10thMeeks, Steven , 178th",https://www.legis.ga.gov/legislation/63634
HB 74,"Social services; Medicaid coverage for prevention and treatment of lymphedema; provide
Status: 01/26/2023 - House Second Readers",House Committee:Public Health,"Barnes, Imani , 86thBeverly, James , 143rdDavis, Viola , 87thClark, Jasmine , 108thPark, Sam , 107thMiller, Tanya F. , 62nd",https://www.legis.ga.gov/legislation/63635
HB 75,"Reproductive Freedom Act; enact
Status: 01/26/2023 - House Second Readers",House Committee:Public Health,"Roberts, Shea , 52ndCannon, Park , 58thBeverly, James , 143rdKendrick, Dar'shun , 95thSchofield, Kim , 63rdClark, Jasmine , 108th",https://www.legis.ga.gov/legislation/63636
HB 76,"Professions and businesses; education, experience, and training requirements for licensure in marriage and family therapy; revise provisions
Status: 05/01/2023 - House Date Signed by Governor",House Committee:Regulated IndustriesSenate Committee:Children and Families,"Powell, Alan , 33rdOliver, Mary Margaret , 82ndEhrhart, Ginny , 36thBennett, Karen , 94thHawkins, Lee , 27thBuckner, Debbie , 137th",https://www.legis.ga.gov/legislation/63640
HB 77,"Dougherty Judicial Circuit; superior court; provide for a fourth judge
Status: 05/01/2023 - House Date Signed by Governor",House Committee:JudiciarySenate Committee:Judiciary,"Greene, Gerald , 154thCheokas, Mike , 151stSampson, David , 153rdYearta, Bill , 152nd",https://www.legis.ga.gov/legislation/63641
HB 78,"Paid Sick Leave Act; enact
Status: 01/30/2023 - House Second Readers",House Committee:Industry and Labor,"Alexander, Kimberly , 66thBazemore, Debra , 69thGladney, Lynn , 130thAnulewicz, Teri , 42ndJackson, Edna , 165thFrazier, Gloria , 126th",https://www.legis.ga.gov/legislation/63642
HB 79,"Georgia Work and Family Credit Act; enact
Status: 01/30/2023 - House Second Readers",House Committee:Ways & Means,"Park, Sam , 107thBeverly, James , 143rdEvans, Stacey , 57thClark, Jasmine , 108thReese, Tremaine Teddy , 140thMughal, Farooq , 105th",https://www.legis.ga.gov/legislation/63652
HB 80,"Uniform Unsworn Declarations Act; enact
Status: 05/01/2023 - House Date Signed by Governor",House Committee:JudiciarySenate Committee:Judiciary,"Leverett, Rob , 123rdOliver, Mary Margaret , 82nd",https://www.legis.ga.gov/legislation/63653
HB 81,"Education; eligibility criteria for certain capital outlay grants for low-wealth school systems; revise
Status: 03/20/2024 - Senate Committee Favorably Reported",House Committee:EducationSenate Committee:Education and Youth,"Corbett, John , 174thErwin, Chris , 32ndGreene, Gerald , 154thPirkle, Clay , 169thMeeks, Steven , 178th",https://www.legis.ga.gov/legislation/63665
HB 82,"Income tax; limit eligibility for rural physician tax credit to physicians who qualify on or before December 31, 2023
Status: 04/19/2024 - House Date Signed by Governor",House Committee:Ways & MeansSenate Committee:Finance,"Jackson, Mack , 128thHawkins, Lee , 27thCooper, Sharon , 45thWilliams, Al , 168thBeverly, James , 143rdStinson, Patty Marie , 150th",https://www.legis.ga.gov/legislation/63666
HB 83,"Georgia Athletic and Entertainment Commission; provide for restriction of access to contests and events
Status: 01/31/2023 - House Second Readers",House Committee:Regulated Industries,"Gunter, Stan , 8thSmith, Tyler Paul , 18thSeabaugh, Devan , 34thReeves, Matt , 99thLeverett, Rob , 123rdAnulewicz, Teri , 42nd",https://www.legis.ga.gov/legislation/63667
HB 84,"Commerce and trade; provide for commercial financing disclosures
Status: 03/20/2024 - Senate Read Second Time",House Committee:Banks & BankingSenate Committee:Banking and Financial Institutions,"Rhodes, Trey , 124thWilliams, Jr., Noel , 148thCorbett, John , 174thWilliamson, Bruce , 112thLaHood, John , 175th",https://www.legis.ga.gov/legislation/63668
HB 85,"Insurance; require health benefit policy coverage for biomarker testing if supported by medical and scientific evidence
Status: 05/02/2023 - House Date Signed by Governor",House Committee:InsuranceSenate Committee:Health and Human Services,"Cooper, Sharon , 45thHawkins, Lee , 27thLumsden, Eddie , 12thReese, Tremaine Teddy , 140thFrye, Spencer , 122nd",https://www.legis.ga.gov/legislation/63669
HB 86,"Sales and use tax; sales of tangible personal property used for or in the renovation or expansion of certain aquariums; exempt
Status: 05/02/2023 - House Date Signed by Governor",House Committee:Ways & MeansSenate Committee:Finance,"Rhodes, Trey , 124thStephens, Ron , 164thCorbett, John , 174thWilliams, Jr., Noel , 148thSainz, Steven , 180th",https://www.legis.ga.gov/legislation/63670
HB 87,"Nontraditional Special Schools Act; enact
Status: 05/04/2023 - House Date Signed by Governor",House Committee:EducationSenate Committee:Education and Youth,"Erwin, Chris , 32ndJones, Jan , 47thDubnik, Matt , 29thJasperse, Rick , 11thWade, Will , 9thMeeks, Steven , 178th",https://www.legis.ga.gov/legislation/63671
HB 88,"Coleman-Baker Act; enact
Status: 04/28/2023 - House Date Signed by Governor",House Committee:Judiciary Non-CivilSenate Committee:Judiciary,"Gaines, Houston , 120thWerkheiser, Bill , 157thPowell, Alan , 33rdCrowe, Clint , 118thEvans, Stacey , 57thWiedower, Marcus , 121st",https://www.legis.ga.gov/legislation/63672
HB 89,"Georgia Equity and Fairness Commission Act; enact
Status: 01/31/2023 - House Second Readers",House Committee:Governmental Affairs,"Bruce, Roger , 61stBeverly, James , 143rdBazemore, Debra , 69thGilliard, Carl , 162ndClark, Jasmine , 108th",https://www.legis.ga.gov/legislation/63673
HB 90,"Ad valorem tax; provisions shall not apply to levying authorities and recommending authorities with base year homestead exemptions; provide
Status: 01/31/2023 - House Second Readers",House Committee:Ways & Means,"Stephens, Ron , 164thSmith, Vance , 138th",https://www.legis.ga.gov/legislation/63674
HB 91,"Wills, trusts and administration of estates; notices to beneficiaries regarding issuance of letters testamentary; require
Status: 05/04/2023 - House Date Signed by Governor",House Committee:JudiciarySenate Committee:Judiciary,"Wade, Will , 9thScoggins, Mitchell , 14thGunter, Stan , 8thSmith, Tyler Paul , 18thLeverett, Rob , 123rdHong, Soo , 103rd",https://www.legis.ga.gov/legislation/63678
HB 92,"Public utilities and public transportation; percentage limitation as to amount of investments an electric membership corporation may make and maintain in a gas affiliate; modify
Status: 03/29/2023 - House Withdrawn, Recommitted","House Committee:Energy, Utilities & Telecommunications","Gaines, Houston , 120thSmith, Tyler Paul , 18thParsons, Don , 44thThomas, Brad , 21stCarson, John , 46thAnulewicz, Teri , 42nd",https://www.legis.ga.gov/legislation/63691
HB 93,"Mitchell County; Board of Commissioners; revise provisions of compensation
Status: 05/01/2023 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Campbell, Joe , 171st",https://www.legis.ga.gov/legislation/63701
HB 94,"Mitchell County; county administrator; provide final authority to take employment action on department heads subject to consultation with the board of commissioners
Status: 05/01/2023 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Campbell, Joe , 171st",https://www.legis.ga.gov/legislation/63702
